dS_ref,dX,VEC,sigma,dHmix,dSmix
8.2,0.0516599457994295,3.0,0.7285100685803332,0.0,11.52634446553133
7.8,0.1447907171116943,3.297,9.711483186344838,0.3996,13.437612837999255
7.5,0.0522306697207684,3.0036,0.8159965620037698,0.0079936,11.62711504667778
7.4,0.052559134821456,3.0066,0.8714375645457357,0.0119904,11.668672686788016
8.6,0.0529118929194561,3.0096,0.9340683886638392,0.0159872,11.70740507581538
8.2,0.0532885657012833,3.0126,1.0025138147958912,0.019984,11.744036627329937
6.82,0.0568410450833268,2.9991000000000003,0.5298347917921815,0.0,11.52445011068683
6.7,0.0557192460017182,3.0000000000000004,0.5272245091155157,0.0,11.519986451382737
5.1,0.2534087607009671,4.0,13.965481495986678,-21.440000000000005,13.38167152293333
10.2,0.2697702726395182,4.2,13.748515325838328,-32.32,13.38167152293333
9.5,0.2798142240844807,4.4,13.856726517558752,-37.28000000000001,13.38167152293333
8.64,0.0570173946791678,3.0,0.9643406874906084,0.0,11.426701444838606
5.92,0.0619653397452962,2.9925,2.489627217050669,0.163296,13.362838946176534
5.85,0.059222803243683,3.0003,2.259946937318165,0.11537568,14.894259767174855
6.92,0.0555442494233201,3.0,3.04188408733199,0.0,13.377454614694951
8.6,0.050754310161798,3.0000000000000004,0.8553072992371988,0.0,13.38167152293333
7.651675827681369,0.0553962995154008,3.0,0.9547198737507364,0.0,11.52634446553133
1.0361644349985188,0.056734028589551,3.0,0.5262462752447677,0.0,11.52634446553133
4.782297392300856,0.0637735832378892,3.0,0.5812389388448725,0.0,9.13441179098877
10.64,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
11.385660924115053,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
11.471419723590593,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
11.015224993599638,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
10.996565148622148,0.3218136106506373,5.1000000000000005,13.861516388537378,-29.68,19.144843755699
11.2,0.2697702726395182,4.2,13.748515325838326,-32.32,13.38167152293333
12.6,0.2664282267328294,4.2,13.50139359386404,-32.32,13.38167152293333
15.0,0.2617938119971517,4.2,12.633605799302918,-32.480000000000004,13.38167152293333
6.02,0.2841104538731371,4.5,15.191649999280337,-35.25,11.52634446553133
6.76,0.2841104538731371,4.5,15.054971297496085,-35.35,12.925283341868443
7.35,0.2832185551830953,4.5,15.019012639915582,-35.25,12.925283341868443
6.96,0.2823557153662733,4.5,14.976036716065696,-35.45,12.925283341868443
8.63,0.281959199176051,4.5,14.765019424089948,-35.25,11.875437369615277
8.79,0.2823202968261403,4.5,14.839097582358765,-35.25,12.566493453158396
7.61,0.2827702247408662,4.5,14.929985185178626,-35.25,12.925283341868443
7.35,0.2832185551830953,4.5,15.019012639915582,-35.25,12.925283341868443
9.463344238776946,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,13.38167152293333
9.1,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,12.748
10.6174106093595,4.220000000000001,13.91083452088716,-33.59200000000001,13.601935821654148,12.748
9.4,0.2734054704097926,4.220000000000001,13.91083452088716,-33.59200000000001,13.601935821654148
9.463344238776946,0.2756719245770233,4.240000000000001,14.024940489261803,-34.704000000000015,13.76456839804731
9.2,0.2756719245770233,4.240000000000001,14.024940489261803,-34.704000000000015,13.76456839804731
9.232530964660436,0.2862971707858811,4.320000000000001,14.610989001347594,-39.15200000000001,14.25632979205134
9.0,0.2862971707858811,4.320000000000001,14.610989001347594,-39.15200000000001,14.25632979205134
6.054591508357336,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
8.427336829200076,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
8.754612045868042,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
9.490981283370958,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
6.693584949378816,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
9.11712432760218,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
8.47084716007595,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
8.817067071250715,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
5.94,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
7.65,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
7.28,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
7.52,0.3020218379124264,4.314000000000001,14.68734163128679,-33.02606336,12.041037127944564
0.6518508162661288,0.0956943551104243,8.82,2.2751826435065023,0.1259999999999992,13.223843770338751
0.6924398223495326,0.0956943551104243,8.82,2.2751826435065023,0.1259999999999992,13.223843770338751
0.75,0.0956943551104243,8.82,2.2751826435065023,0.1259999999999992,13.223843770338751
44.9,0.1557981914065239,7.2330999999999985,4.3886764862182055,-27.86637736,14.653717413779663
29.2,0.1542480377931592,7.214799999999999,4.309451003905262,-27.58254928,14.675001388891522
1.9,0.1518239143086489,7.1886,4.188898706518099,-27.157675280000003,14.681092520141478
2.4,0.1501257899244189,7.1693,4.106317451531512,-27.19792664,14.664522619844703
55.3,0.1550058877726987,7.271,4.465178585544848,-28.02061144,14.683132583658796
48.5,0.1554121224486686,7.252,4.426716927400428,-27.94306186,14.670744624561468
